SEMIS_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_TEMPERATURE_MAX_INF;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_JOURS_TEMP_MAX_INF;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
SEMIS_CUMUL_PLUIE;[mm];N;1;1;1;1;1;1;N;1;1;1;1;1;1
SEMIS_N_J_CUMUL_PLUIE;[jour];NA;1;1;1;1;1;1;NA;1;1;1;1;1;1
IS_BINAGE;[NA];NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
BINAGE_PASSAGES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_OUTIL;[nom];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_AGRIW;[bool];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_TEMPS;[Ha/h];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_NB_SOUS_PERIODES;[NA];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_DEBUT;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_FIN;[jour];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_ECHV_MIN;[%];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BINAGE_HUMIDITE_SOL_MAX;[%];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
BINAGE_EFFET_RUs;[NA];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
BINAGE_TEMPERATURE_MIN;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
BINAGE_JOURS_TEMP_MIN;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
BINAGE_TEMPERATURE_MAX;[C];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
BINAGE_JOURS_TEMP_MAX;[jour];N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
